"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"400C100US00037","Abbeville, LA Urban Cluster (2010)","20249","718","12268","807","6392","519","53","52","968","243","0","23","85","82","483","275","3","5","480","275"
"400C100US00064","Abbeville, SC Urban Cluster (2010)","4901","373","1896","372","2835","337","0","12","0","12","0","12","20","22","150","124","59","77","91","95"
"400C100US00091","Abbotsford, WI Urban Cluster (2010)","3883","231","3434","262","62","78","5","6","13","13","0","9","336","128","33","23","15","20","18","18"
"400C100US00118","Aberdeen, MS Urban Cluster (2010)","4240","231","1108","219","2912","410","0","13","7","10","0","13","0","13","213","231","0","13","213","231"
"400C100US00145","Aberdeen, SD Urban Cluster (2010)","27860","187","24740","303","491","190","1174","219","943","70","0","17","18","22","494","209","26","44","468","207"
"400C100US00172","Aberdeen, WA Urban Cluster (2010)","29146","481","25810","603","90","78","1278","331","329","186","176","60","343","148","1120","254","59","61","1061","239"
"400C100US00199","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)","216940","1413","167248","1633","32855","813","382","99","6427","448","11","20","3034","663","6983","764","428","225","6555","757"
"400C100US00226","Abernathy, TX Urban Cluster (2010)","3132","332","2872","331","12","14","8","8","4","7","0","13","87","63","149","66","28","36","121","56"
"400C100US00253","Abilene, KS Urban Cluster (2010)","6579","93","6347","137","47","48","59","58","3","6","0","15","27","32","96","78","25","37","71","67"
"400C100US00280","Abilene, TX Urbanized Area (2010)","113688","761","86207","1232","9655","452","1127","288","2405","236","73","74","10813","1178","3408","535","1030","333","2378","411"
"400C100US00334","Abingdon, IL Urban Cluster (2010)","3359","356","3259","365","18","25","0","11","0","11","0","11","0","11","82","65","0","11","82","65"
"400C100US00388","Ada, OH Urban Cluster (2010)","5957","283","5448","284","65","42","0","16","239","46","0","16","17","21","188","84","54","47","134","64"
"400C100US00415","Ada, OK Urban Cluster (2010)","18250","329","12099","344","707","103","1699","262","264","104","30","30","147","80","3304","362","79","44","3225","365"
