HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.city_A,Input.city_B,Answer.Which of these cities are more beautiful.label,Approve,Reject
3DQYSJDTYKAJD0RMMIBLPYOYB1PEXU,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,3A1COHJ8NJU75TFAUDC0IM05U6J8HZ,A3N5RTXKN4I723,Approved,Thu Feb 18 15:52:15 PST 2021,Thu Feb 18 15:52:34 PST 2021,Sat Feb 20 15:52:34 PST 2021,Sat Feb 20 15:53:24 PST 2021,,,19,100% (1/1),100% (1/1),100% (1/1),"New York, NY","Los Angeles, CA",City B,,
3DQYSJDTYKAJD0RMMIBLPYOYB1PEXU,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,3SB5N7Y3O33BN8FWF3H347IMW8U0G5,ARG392N6HWZCJ,Approved,Thu Feb 18 15:51:44 PST 2021,Thu Feb 18 15:51:50 PST 2021,Sat Feb 20 15:51:50 PST 2021,Sat Feb 20 15:52:24 PST 2021,,,6,100% (6/6),100% (6/6),100% (6/6),"New York, NY","Los Angeles, CA",City A,,
3DQYSJDTYKAJD0RMMIBLPYOYB1PEXU,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,3XC1O3LBOSLSP9QOOW2T1APZP0CLT7,A2JJF5OFND2KL5,Approved,Thu Feb 18 15:51:20 PST 2021,Thu Feb 18 15:51:29 PST 2021,Sat Feb 20 15:51:29 PST 2021,Sat Feb 20 15:52:24 PST 2021,,,9,100% (1/1),100% (1/1),100% (1/1),"New York, NY","Los Angeles, CA",City A,,
3HKIF5DF6XWRWI5FPXVV9YNSHED9GN,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,34BBWHLWHAAIRPMCYYARWE46CQ0WIU,A3U5D83UGFY23Y,Approved,Thu Feb 18 15:52:02 PST 2021,Thu Feb 18 15:52:11 PST 2021,Sat Feb 20 15:52:11 PST 2021,Sat Feb 20 15:52:25 PST 2021,,,9,100% (2/2),100% (2/2),100% (2/2),"New York, NY","Chicago, IL",City A,,
3HKIF5DF6XWRWI5FPXVV9YNSHED9GN,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,374TNBHA8BUZXS5VQ7XOQDG8E8HYQY,A3TYCJO2DG3RMH,Approved,Thu Feb 18 15:51:41 PST 2021,Thu Feb 18 15:51:45 PST 2021,Sat Feb 20 15:51:45 PST 2021,Sat Feb 20 15:52:24 PST 2021,,,4,100% (8/8),100% (8/8),100% (8/8),"New York, NY","Chicago, IL",City A,,
3HKIF5DF6XWRWI5FPXVV9YNSHED9GN,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,3IAEQB9FMEJ1JE6Q6K9G5HOTKLSWDS,A18RDBJFY3QWZL,Approved,Thu Feb 18 15:51:43 PST 2021,Thu Feb 18 15:51:49 PST 2021,Sat Feb 20 15:51:49 PST 2021,Sat Feb 20 15:52:24 PST 2021,,,6,100% (3/3),100% (3/3),100% (3/3),"New York, NY","Chicago, IL",City A,,
367O8HRHKF7TPH8U32TLH4VFJXT4S6,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,32VNZTT0A73JBM6BEFYHFEM6FTKR47,ARG392N6HWZCJ,Approved,Thu Feb 18 15:51:38 PST 2021,Thu Feb 18 15:51:44 PST 2021,Sat Feb 20 15:51:44 PST 2021,Sat Feb 20 15:52:24 PST 2021,,,6,100% (6/6),100% (6/6),100% (6/6),"New York, NY","Washington, DC",City A,,
367O8HRHKF7TPH8U32TLH4VFJXT4S6,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,3EJJQNKU9R4DNYU6TMI093VAKY6RHT,A1RP234EJ8NH7K,Approved,Thu Feb 18 15:52:15 PST 2021,Thu Feb 18 15:52:18 PST 2021,Sat Feb 20 15:52:18 PST 2021,Sat Feb 20 15:52:25 PST 2021,,,3,100% (6/6),100% (6/6),100% (6/6),"New York, NY","Washington, DC",City A,,
367O8HRHKF7TPH8U32TLH4VFJXT4S6,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:06 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:06 PST 2021,,,3GD6L00D3SWBM7W0MPJYVHLTXMBM11,A3TYCJO2DG3RMH,Approved,Thu Feb 18 15:51:46 PST 2021,Thu Feb 18 15:51:50 PST 2021,Sat Feb 20 15:51:50 PST 2021,Sat Feb 20 15:52:24 PST 2021,,,4,100% (8/8),100% (8/8),100% (8/8),"New York, NY","Washington, DC",City B,,
3W31J70BARVYW281R8Q19GGTUGXKCI,3GSIANI2QSCS2CKEYOV09JD2DOBPDQ,Which of these cities are more beautiful,Which of these cities are more beautiful,comparison,$0.02 ,Thu Feb 18 15:51:07 PST 2021,3,BatchId:4338952;OriginalHitTemplateId:928390889;,3600,172800,Fri Feb 19 15:51:07 PST 2021,,,3HVVDCPGTERCP8XN7BRJVIRVYFGYTC,A3TYCJO2DG3RMH,Approved,Thu Feb 18 15:51:50 PST 2021,Thu Feb 18 15:51:56 PST 2021,Sat Feb 20 15:51:56 PST 2021,Sat Feb 20 15:52:25 PST 2021,,,6,100% (8/8),100% (8/8),100% (8/8),"New York, NY","Boston, MA",City B,,
