"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.city_A","Input.city_B","Answer.which_city.label","Approve","Reject"
"3QX22DUVOPMXYH1P7FA15MH6P7QVMA","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","369J354OFFFFD1OWM69059CY5FM6G8","A9HQ3E0F2AGVO","Approved","Thu Feb 18 15:44:32 PST 2021","Thu Feb 18 15:44:41 PST 2021","Sat Feb 20 15:44:41 PST 2021","Sat Feb 20 15:44:55 PST 2021","","","9","100% (3/3)","100% (3/3)","100% (3/3)","New York, NY","Los Angeles, CA","city_A"
"3QX22DUVOPMXYH1P7FA15MH6P7QVMA","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","38YMOXR4MW4BANEW1BDIRCYMZ3C6W7","A3J82QATG6KMHV","Approved","Thu Feb 18 15:45:24 PST 2021","Thu Feb 18 15:46:40 PST 2021","Sat Feb 20 15:46:40 PST 2021","Sat Feb 20 15:46:54 PST 2021","","","76","100% (1/1)","100% (1/1)","100% (1/1)","New York, NY","Los Angeles, CA","city_A"
"3QX22DUVOPMXYH1P7FA15MH6P7QVMA","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","3U5JL4WY5MECK0F8SSGPWXSFCEBX45","AVV45BXBPOCS0","Approved","Thu Feb 18 15:44:40 PST 2021","Thu Feb 18 15:44:45 PST 2021","Sat Feb 20 15:44:45 PST 2021","Sat Feb 20 15:44:56 PST 2021","","","5","100% (3/3)","100% (3/3)","100% (3/3)","New York, NY","Los Angeles, CA","city_A"
"36KM3FWE3SHYKDTM0CKN1BUQ0MJ07D","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","34BBWHLWHCGR379X3CM7OFOR8U6WIQ","A2JJF5OFND2KL5","Approved","Thu Feb 18 15:44:03 PST 2021","Thu Feb 18 15:48:01 PST 2021","Sat Feb 20 15:48:01 PST 2021","Sat Feb 20 15:48:54 PST 2021","","","238","100% (1/1)","100% (1/1)","100% (1/1)","New York, NY","Chicago, IL","city_A"
"36KM3FWE3SHYKDTM0CKN1BUQ0MJ07D","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","3OUYGIZWR93QC3VGN0J6QHGZT3MP0T","A3U5D83UGFY23Y","Approved","Thu Feb 18 15:44:30 PST 2021","Thu Feb 18 15:44:35 PST 2021","Sat Feb 20 15:44:35 PST 2021","Sat Feb 20 15:44:55 PST 2021","","","5","100% (5/5)","100% (5/5)","100% (5/5)","New York, NY","Chicago, IL","city_A"
"36KM3FWE3SHYKDTM0CKN1BUQ0MJ07D","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","3ZR9AIQJUDE4NA9XPGRINJ5427R40I","AY7RI824FORAE","Approved","Thu Feb 18 15:44:29 PST 2021","Thu Feb 18 15:44:40 PST 2021","Sat Feb 20 15:44:40 PST 2021","Sat Feb 20 15:44:55 PST 2021","","","11","100% (4/4)","100% (4/4)","100% (4/4)","New York, NY","Chicago, IL","city_A"
"3KG2UQJ0MKTBBRQ8XHVRCE7YD5LQNB","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","35DR22AR5FPR24W4SEB6MS09YEFX3K","A1RP234EJ8NH7K","Approved","Thu Feb 18 15:44:37 PST 2021","Thu Feb 18 15:44:39 PST 2021","Sat Feb 20 15:44:39 PST 2021","Sat Feb 20 15:44:55 PST 2021","","","2","100% (5/5)","100% (5/5)","100% (5/5)","New York, NY","Washington, DC","city_B"
"3KG2UQJ0MKTBBRQ8XHVRCE7YD5LQNB","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","382M9COHEJK2VYI6CTHFLC52VLOUEG","AVV45BXBPOCS0","Approved","Thu Feb 18 15:44:30 PST 2021","Thu Feb 18 15:44:40 PST 2021","Sat Feb 20 15:44:40 PST 2021","Sat Feb 20 15:44:55 PST 2021","","","10","100% (3/3)","100% (3/3)","100% (3/3)","New York, NY","Washington, DC","city_A"
"3KG2UQJ0MKTBBRQ8XHVRCE7YD5LQNB","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","3L4D84MIL1X51SYEQVL7ZDT46LIJHP","A3U5D83UGFY23Y","Approved","Thu Feb 18 15:44:25 PST 2021","Thu Feb 18 15:44:30 PST 2021","Sat Feb 20 15:44:30 PST 2021","Sat Feb 20 15:44:54 PST 2021","","","5","100% (5/5)","100% (5/5)","100% (5/5)","New York, NY","Washington, DC","city_A"
"3VDI8GSXAGYZVV9QOJ1W03D1INDG8I","30E4L8P2E2NNT59Y2PFZJ8FVM4UB8I","Which city is more culturally diverse?","Pick one city that you think has more cultural diversity","cultural diverse city","$0.02","Thu Feb 18 15:43:52 PST 2021","3","BatchId:4338944;OriginalHitTemplateId:928390889;","3600","172800","Fri Feb 19 15:43:52 PST 2021","","","30BXRYBRP62R7CYDXU4MO3NC8HRWHX","A3P57IUDHUKNCE","Approved","Thu Feb 18 15:44:02 PST 2021","Thu Feb 18 15:50:45 PST 2021","Sat Feb 20 15:50:45 PST 2021","Sat Feb 20 15:50:54 PST 2021","","","403","100% (1/1)","100% (1/1)","100% (1/1)","New York, NY","Boston, MA","city_A"
