"id","group","age","initial_mass","final_mass"
5,1,"young",67.6,61
8,1,"young",66.9,60
14,1,"young",59.3,54
23,1,"old",72.2,71.8
24,1,"middle-age",86,81.3
25,1,"young",69.5,64.8
26,1,"young",57.6,56.3
27,1,"old",70,69
28,1,"old",69,63.1
29,1,"middle-age",64,62.9
30,1,"middle-age",63.2,61
31,1,"middle-age",69.6,63
32,1,"old",75,70
33,1,"middle-age",66.1,64.1
34,1,"young",57,53
35,1,"young",55.8,50.6
36,1,"young",53.5,50.8
37,1,"old",79.8,66.2
38,1,"young",70,64
39,1,"young",67,62.3
43,1,"young",68.8,60.3
44,1,"middle-age",71.4,64
1,2,"young",60,59
2,2,"old",69,73
3,2,"old",69.3,73.5
4,2,"young",53.5,52
6,2,"middle-age",70,74
7,2,"middle-age",78.8,77
9,2,"old",76,78
10,2,"middle-age",73,72
11,2,"young",62.9,66
12,2,"middle-age",76.5,75
13,2,"old",72.3,76
15,2,"old",73,75
16,2,"young",61,59
17,2,"young",61.7,58
18,2,"middle-age",65,69
19,2,"middle-age",70,69
20,2,"middle-age",58,56
21,2,"young",55,57
22,2,"middle-age",80,77.6
40,2,"old",82,81
41,2,"middle-age",70.5,69
42,2,"middle-age",64.3,64
45,3,"middle-age",61,55
46,3,"middle-age",70,65
47,3,"old",70.3,71.5
48,3,"middle-age",54.5,51
49,3,"middle-age",68.6,65
50,3,"young",70,72
51,3,"old",78.8,74
52,3,"young",67.9,63
53,3,"young",76,73
54,3,"old",74,72
55,3,"young",63.9,64
56,3,"young",77.5,73
57,3,"old",73.3,72
58,3,"young",60.3,56
59,3,"young",64,61
60,3,"middle-age",62,64
61,3,"middle-age",62.7,61
62,3,"middle-age",66,67
63,3,"middle-age",71,67
64,3,"middle-age",59,56
65,3,"young",55,56
66,3,"old",81,77
