"topic","term","beta"
1,"00gmt",0.000337461502510636
2,"00gmt",8.1005198327956e-05
3,"00gmt",0.000155723197861389
4,"00gmt",9.17477611205731e-06
1,"0khalodi0",3.11187611746165e-05
2,"0khalodi0",0.00070784525928184
3,"0khalodi0",0.000258978096130644
4,"0khalodi0",0.000421789261988517
1,"100m",2.94094518266951e-05
2,"100m",0.000382487712259447
3,"100m",4.62499814952325e-05
4,"100m",0.000270724208896486
1,"112k",0.000200478665558233
2,"112k",0.000284535852681108
3,"112k",0.000118958919508083
4,"112k",7.42782036968627e-05
1,"1st",0.00238596152361683
2,"1st",0.00193218454100283
3,"1st",0.000416120866469904
4,"1st",0.000572680486152427
1,"1u",0.000109218190572661
2,"1u",4.77397491987141e-05
3,"1u",0.000274084456734548
4,"1u",0.000130123480678227
1,"200m",0.000124504956226568
2,"200m",4.41728562940601e-05
3,"200m",0.000133823283364198
4,"200m",0.000267612244005944
1,"20x",0.000119228638897408
2,"20x",0.000329550532147539
3,"20x",1.69548214145709e-05
4,"20x",0.000241010909769913
1,"27nd",1.71860917859436e-05
2,"27nd",0.000265567404229324
3,"27nd",0.000300505457420529
4,"27nd",7.4060650931997e-05
1,"27th",0.000125672320179213
2,"27th",0.000387720525549255
3,"27th",0.00149288929310955
4,"27th",0.000860029800076955
1,"30pm",0.000434018383643785
2,"30pm",7.63842103013773e-05
3,"30pm",0.000345485061524513
4,"30pm",0.000271709782834614
1,"3d",7.61900264057654e-05
2,"3d",4.72143514381466e-05
3,"3d",0.000326673628260342
4,"3d",0.000107100513352039
1,"3m",0.000228528169686991
2,"3m",0.000152378113468246
3,"3m",0.00011189573607229
4,"3m",0.000126635791598698
1,"47m",0.000176943278676833
2,"47m",0.000176144495737862
3,"47m",0.000152687278085608
4,"47m",0.00012157955473112
1,"5b",0.000243151913368296
2,"5b",6.42539953802918e-05
3,"5b",0.000185892427048302
4,"5b",8.09721555481306e-05
1,"5th",0.000198117920585194
2,"5th",7.04278741160592e-05
3,"5th",0.000151974930980945
4,"5th",0.000159421236448675
1,"60th",9.71905421442994e-05
2,"60th",8.55128062661584e-05
3,"60th",0.000119116809122922
4,"60th",0.000288112310018181
1,"6pm",0.000369099590450175
2,"6pm",7.06597512967147e-05
3,"6pm",0.000139309067065591
4,"6pm",6.80495107700951e-07
1,"7am",1.43821490889597e-05
2,"7am",0.000224895558170774
3,"7am",0.000728150612718707
4,"7am",0.000200648957234533
1,"7day",0.000104795679865758
2,"7day",5.99453775420127e-05
3,"7day",0.000217710192771415
